N,0,1,2,3,4,5,6,7,8,9,min
900,21.118367,30.657536,20.770359,13.408403,22.78345,21.857858,28.376221,11.792651,23.681965,24.01448,11.792651
3310,14.906781,23.011789,14.275986,14.660741,26.683257,24.318805,26.47989,26.940563,12.828274,25.723109,12.828274
5720,26.655976,27.80088,28.109721,26.385007,26.468121,29.131226,27.947428,26.743307,33.752608,32.795304,26.385007
8130,31.772071,31.336129,36.422716,32.31922,31.015365,34.163868,31.142765,37.348486,32.741573,30.086574,30.086574
10540,38.652503,27.149072,39.690492,34.904294,35.406597,36.432216,36.807338,59.930384,36.07311,36.593502,27.149072
12950,44.455306,44.080126,43.654033,43.764876,41.84523,41.950557,48.874193,44.036933,45.308397,42.06533,41.84523
15360,48.889586,50.581216,50.616772,49.600031,49.336807,56.782656,43.678075,50.387588,54.120121,51.95945,43.678075
17770,57.068135,59.394556,60.543454,61.717005,60.201527,53.518699,61.660388,60.85338,56.550253,61.003275,53.518699
20180,70.782889,68.15372,66.089078,75.645623,66.424334,66.880686,58.458868,68.378174,69.48461,71.438433,58.458868
22590,72.550947,77.157139,77.074735,68.559045,74.293807,76.655576,79.568814,75.338384,79.353373,80.391437,68.559045
25000,93.824976,94.447206,86.045139,86.182248,80.293008,90.495335,99.442122,92.379543,90.789261,72.600352,72.600352
