N,min,Generation,Map,Merge,Sort,Reduce
900,20.808935,0.00086,0.010712,0.001663,0.004991,0.002402
3310,35.545111,0.002893,0.012377,0.001642,0.015082,0.003371
5720,60.433865,0.005131,0.014486,0.002065,0.035149,0.003427
8130,96.131086,0.006999,0.016168,0.002054,0.066969,0.003765
10540,135.232925,0.008815,0.017983,0.002512,0.102173,0.003565
12950,191.987038,0.010726,0.020055,0.002749,0.154495,0.003776
15360,248.138905,0.012704,0.02213,0.002917,0.206422,0.003777
17770,290.849924,0.014422,0.023207,0.002934,0.246296,0.003793
20180,345.609188,0.016449,0.025573,0.003098,0.296453,0.003855
22590,430.01008,0.018402,0.02837,0.003411,0.375839,0.003813
25000,518.050909,0.020911,0.032244,0.003926,0.456561,0.004236
